Purchaser Entity / Country,Purchaser's country Economic  Status,% of national population able to be vaccinated,% of national population able to be vaccinated with additional doses,confirmed + potential ,COVID Burden (cases/million),placeholder 1
Argentina,Upper middle income,0.244777821,,0.244777821,40528,0.244777821
Australia,High income,1.060545435,,1.060545435,1127,1.060545435
Bangladesh,Lower middle income,0.101198335,,0.101198335,3212,0.101198335
Brazil,Upper middle income,0.241649440,0.236911216,0.478560656,40336,0.241649440
Canada,High income,0.266033422,,0.266033422,19199,0.266033422
Chile,High income,0.379906372,,0.379906372,35423,0.379906372
Colombia,Upper middle income,0.099325692,,0.099325692,38109,0.099325692
Costa Rica,Upper middle income,0.099057743,,0.099057743,36685,0.099057743
Ecuador,Upper middle income,0.143895973,,0.143895973,13182,0.143895973
Egypt,Lower middle income,0.149420141,,0.149420141,1546,0.149420141
El Salvador,Lower middle income,0.154953403,,0.154953403,7930,0.154953403
EU,High income,0.446915349,,0.446915349,41031,0.446915349
India,Lower middle income,0.004025123,0.178935029,0.182960152,7768,0.004025123
Indonesia,Upper middle income,,0.184757118,0.184757118,3436,
Israel,High income,,0.552284802,0.552284802,66529,
Japan,High income,0.475191326,,0.475191326,2696,0.475191326
Latin America w/o Brazil,Upper middle income,,,0,,
Malaysia,Upper middle income,0.100157194,,0.100157194,5233,0.100157194
Mexico,Upper middle income,0.303349712,,0.303349712,13099,0.303349712
New Zealand,High income,0.772828961,,0.772828961,470,0.772828961
Panama,High income,,0.128342830,0.128342830,69884,
Philippines,Lower middle income,0.078618814,,0.078618814,4600,0.078618814
South Africa,Upper middle income,0.012807755,,0.012807755,23090,0.012807755
South Korea,High income,0.193389566,,0.193389566,1390,0.193389566
Taiwan,High income,0.209737588,,0.209737588,36,0.209737588
Thailand,Upper middle income,0.186712981,,0.186712981,183,0.186712981
UK,High income,0.748117680,,0.748117680,51215,0.748117680
USA,High income,0.761638933,,0.761638933,73280,0.761638933
Vietnam,Lower middle income,0.155501477,,0.155501477,16,0.155501477
Palestine,Lower middle income,,,0,30107,
Dominican Republic,Upper middle income,0.465594520,,0.465594520,18122,0.465594520
Peru,Upper middle income,0.215315363,,0.215315363,32549,0.215315363
African Union,Low income,,,0,,
