,도시코드,도시명
0,12,세종특별시
1,22,대구광역시
2,23,인천광역시
3,24,광주광역시
4,25,대전광역시/계룡시
5,26,울산광역시
6,39,제주도
7,31010,수원시
8,31020,성남시
9,31030,의정부시
10,31040,안양시
11,31050,부천시
12,31060,광명시
13,31070,평택시
14,31080,동두천시
15,31090,안산시
16,31100,고양시
17,31110,과천시
18,31120,구리시
19,31130,남양주시
20,31140,오산시
21,31150,시흥시
22,31160,군포시
23,31170,의왕시
24,31180,하남시
25,31190,용인시
26,31200,파주시
27,31210,이천시
28,31220,안성시
29,31230,김포시
30,31240,화성시
31,31250,광주시
32,31260,양주시
33,31270,포천시
34,31320,여주군
35,31350,연천군
36,31370,가평군
37,31380,양평군
38,32010,춘천시
39,32020,원주시/횡성군
40,32040,동해시
41,32050,태백시
42,32060,속초시
43,32310,홍천군
44,32330,영월군
45,32360,철원군
46,32370,화천군
47,32380,양구군
48,32390,인제군
49,32400,고성군
50,32410,양양군
51,33010,청주시
52,33020,충주시
53,33030,제천시
54,33320,보은군
55,33330,옥천군
56,33340,영동군
57,33350,진천군
58,33360,괴산군
59,33370,음성군
60,33380,단양군
61,34010,천안시
62,34020,공주시
63,34040,아산시
64,34050,서산시
65,34060,논산시
66,34070,계룡시
67,34330,부여군
68,34390,당진시
69,35010,전주시
70,35020,군산시
71,35030,익산시
72,35040,정읍시
73,35050,남원시
74,35060,김제시
75,35320,진안군
76,35330,무주군
77,35340,장수군
78,35350,임실군
79,35360,순창군
80,35370,고창군
81,35380,부안군
82,36010,목포시
83,36020,여수시
84,36030,순천시
85,36060,광양시
86,36330,구례군
87,36350,고흥군
88,36400,해남군
89,36410,영암군
90,36420,무안군
91,36430,함평군
92,36440,영광군
93,36470,진도군
94,36480,신안군
95,37010,포항시
96,37020,경주시
97,37030,김천시
98,37050,구미시
99,37060,영주시
100,37070,영천시
101,37080,상주시
102,37090,문경시
103,37100,경산시
104,37310,군위군
105,37320,의성군
106,37330,청송군
107,37350,영덕군
108,37360,청도군
109,37370,고령군
110,37390,칠곡군
111,37410,봉화군
112,37420,울진군
113,37430,울릉군
114,38010,창원시
115,38030,진주시
116,38050,통영시
117,38060,사천시
118,38070,김해시
119,38080,밀양시
120,38090,거제시
121,38100,양산시
122,38310,의령군
123,38320,함안군
124,38330,창녕군
125,38340,고성군
126,38350,남해군
127,38360,하동군
128,38370,산청군
129,38380,함양군
130,38390,거창군
131,38400,합천군
