,종점,노선ID,노선번호,노선유형,기점
0,세종고속시외버스터미널,SJB293000024,430,간선버스,가톨릭꽃동네대학교
1,조치원역,SJB293000029,550,간선버스,산성동종점
2,산성시장,SJB293000030,551,지선버스,조치원역
3,조치원역,SJB293000033,601,간선버스,"새나루마을9,10단지"
4,세종고속시외버스터미널,SJB293000039,655,광역버스,충남대학교
5,세종고속시외버스터미널,SJB293000057,801,간선버스,민석아파트입구
6,오송역,SJB293000077,B2,광역버스,반석역
7,대곡리,SJB293000078,991,간선버스,국책연구단지북측
8,반석역,SJB293000099,B2,광역버스,오송역
9,국책연구단지북측,SJB293000100,991,간선버스,대곡리
10,산성동/시내버스정류장,SJB293000102,550,간선버스,조치원역
11,"새나루마을9,10단지",SJB293000103,601,간선버스,조치원역
12,충남대학교,SJB293000106,655,광역버스,세종고속시외버스터미널
13,민석아파트입구,SJB293000107,801,간선버스,세종고속시외버스터미널
14,가톨릭꽃동네대학교,SJB293000117,430,간선버스,세종고속시외버스터미널
15,반석역,SJB293000168,1000,광역버스,조형아파트
16,조형아파트,SJB293000169,1000,광역버스,반석역
17,조치원버스터미널,SJB293000170,340,간선버스,세종고속시외버스터미널
18,세종고속시외버스터미널,SJB293000171,340,간선버스,조치원버스터미널
19,장기중학교후문,SJB293000178,1004,광역버스,반석역
20,반석역,SJB293000179,1004,광역버스,장기중학교후문
21,조치원버스터미널,SJB293000180,11,지선버스,조치원버스터미널
22,조치원버스터미널,SJB293000181,12,지선버스,조치원버스터미널
23,장기중학교후문,SJB293000188,52,마을버스,장기중학교후문
24,장기중학교후문,SJB293000190,53,마을버스,장기중학교후문
25,한국영상대학교,SJB293000192,61,마을버스,세종고속시외버스터미널
26,세종고속시외버스터미널,SJB293000193,61,마을버스,한국영상대학교
27,금강수목원(산림박물관),SJB293000194,62,마을버스,세종고속시외버스터미널
28,세종고속시외버스터미널,SJB293000195,62,마을버스,금강수목원(산림박물관)
29,성강리,SJB293000196,63,마을버스,세종고속시외버스터미널
30,세종고속시외버스터미널,SJB293000197,63,마을버스,성강리
31,금천2리마을회관,SJB293000198,64,마을버스,세종고속시외버스터미널
32,세종고속시외버스터미널,SJB293000199,64,마을버스,금천2리마을회관
33,두만2리,SJB293000200,65,마을버스,세종고속시외버스터미널
34,세종고속시외버스터미널,SJB293000201,65,마을버스,두만2리
35,달전리마을회관,SJB293000202,66,마을버스,세종고속시외버스터미널
36,세종고속시외버스터미널,SJB293000203,66,마을버스,달전리마을회관
37,송강마을아파트,SJB293000204,661,광역버스,세종고속시외버스터미널
38,세종고속시외버스터미널,SJB293000205,661,광역버스,송강마을아파트
39,부용2리,SJB293000206,67,마을버스,세종고속시외버스터미널
40,세종고속시외버스터미널,SJB293000207,67,마을버스,부용2리
41,신동2통,SJB293000208,69,마을버스,세종고속시외버스터미널
42,세종고속시외버스터미널,SJB293000209,69,마을버스,신동2통
43,송강마을아파트,SJB293000210,691,광역버스,세종고속시외버스터미널
44,세종고속시외버스터미널,SJB293000211,691,광역버스,송강마을아파트
45,은하수공원,SJB293000212,16,마을버스,조치원버스터미널
46,조치원버스터미널,SJB293000213,16,마을버스,은하수공원
47,보통1리마을회관,SJB293000214,17,마을버스,조치원버스터미널
