,title,event_date,collect_date,subject,tables,docs,vids,imgs,content
0,2014년 브라질 월드컵,2014년 06월 13일 ~ 2014년 07월 14일,2014년 08월 01일 ~ 2014년 09월 05일,"예술 > 오락, 스포츠","1,402",0,180,0,"2014년 6월 13일 오전 5시(한국시간) 브라질과 크로아티아 개막전으로 브라질 월드컵이 시작되었다. 브라질은 월드컵 개막 1년 이전부터 주요 도시에서는 월드컵 반대 시위와 파업으로 전개되었고, 시위자들은 대회 개최에 들어가는 막대한 비용을 보건, 교육 등 내부 시스템 개선에 쓸 것을 요구하였다. 브라질 연방정부가 2013년 6월에 발표한 개최 비용은 약 125억 달러(12조8500억원)으로 2002년 한∙일 월드컵(5조2300억원), 2006년 독일 월드컵(5조5400억원)보다 세 배 많은 액수였다. AP통신 등 외신에 따르면 브라질 상파울루의 코린치앙스 스타디움에 열린 개막식에 총 800만 달러(약 81억원)을 사용한 것으로 전해졌다. 한편 독일이 7월14일 결승전에서 1-0으로 아르헨티나를 꺾고 우승을 하였고, 개최국인 브라질은 3-4위전에서 네덜란드에 0-3으로 패하여 4위에 머물렀다. 벨기에, 알제리, 러시아와 같이 H조에 속하던 홍명보감독이 이끌던 우리나라팀은 득점 3, 실점 6, 승점 1로 H조에서 4위를 하여 16강에 올라가지 못했다."
1,2014년 인천아시안게임,2014년 09월 16일 ~ 2014년 10월 04일,2014년 07월 11일 ~ 2014년 11월 14일,"예술 > 오락, 스포츠","1,336",537,108,0,"인천아시안게임은 2014년 9월 19일부터 10월 4일까지 16일간 인천광역시 일원에서 열렸으며, 45개국의 13,000여명이 참가하여 우리나라는 금 79개, 은 70개, 동 79개로 중국에 이어 두번째로 많은 메달을 땄다. 또한 북한 선수단은 금 11개, 은 11개, 동 14개로 종합 7위에 올랐으며, 북한 대표단이 아시안게임 폐회식을 참석하기 위하여 방문함으로써 5.24조치 이후 경색된 남북 관계의 개선이 기대되기도 하였다."
2,2014년 동부전선 육군 GOP 소초 총기사고,2014년 06월 21일 ~ 2014년 06월 21일,2014년 07월 01일 ~ 2014년 08월 08일,"사회과학 > 국방, 군사학",220,0,0,0,"2014년 6월21일 토요일 20시15분경, 동부전선인 강원도 고성군 22사단 GOP에서 임모 병장(22)이 수류탄을 터뜨리고 K-2 소총 20여 발을 난사해 5명이 사망하고 7명이 부상당하였다. 이후 임병장은 이후 실탄 60여 발을 들고 탈영하여 도주하였고, 강원도 고성군 금강산콘도 500m 서쪽에서 군과 대치하다 범행 43시간 만에 붙잡혔다. 임병장은 부대에서 집단 따돌림을 받았으며, 순찰일지 뒷면 겉표지에 자신을 희화한 그림을 보고 범행을 결심하게 되었다고 주장하였으나 재판시 받아들여지지 않았다. 국방부 고등군사법원은 임 병장에 대한 항소심 선거공판에서도 1심과 동일하게 사형을 선고하였다. 임병장에 대한 군사재판은 모두 사형으로 마무리되어 임병장이 상고할 경우 최종 판단은 민간 법정인 대법원에서 진행될 것으로 보인다."
3,2014년 6.4 지방선거,2014년 06월 04일 ~ 2014년 06월 04일,2014년 05월 30일 ~ 2014년 07월 04일,사회과학 > 정치학,"2,663",0,7,0,"2014년 6월 4일 민선 6기를 이끌 지방자치단체장과 지방의원, 교육감 등을 선출하는 지방선거가 실시되어 시도지사 17명, 구시군의장 226명 등 총 3,952명을 선출하였다."
4,광복 70주년,2015년 08월 15일 ~ 2015년 08월 15일,2015년 06월 11일 ~ 2015년 08월 14일,역사 > 아시아,1,92,8,4,"정부는 광복70주년을 맞이하여 축하 분위기 확산과 내수경기 진작을 위하여 2015년 8월 14일을 임시공휴일로 지정하였다. 서울을 비롯하여 전국 곳곳에서 광복 70주년을 축하하는 다채로운 행사가 열렸으며, 광복절 연휴기간 동안 자치단체 공공시설 무료 개방을 추진하였다."
5,2015년 DMZ 목함지뢰폭발사고부터 남북당국자회담까지,2015년 08월 04일 ~ 2015년 08월 24일,2015년 09월 02일 ~ 2015년 09월 07일,사회과학 > 정치학,193,47,0,3,2015년 7월 26일부터 8월 1일 사이에 북한군이 군사분계선(DML)에 매설한 것으로 보이는 목함지뢰가 폭발하여 그 해 8월 4일 서부전선 DMZ에서 수색작업을 벌이던 우리 장병 2명이 심각한 부상을 당하였다. 이에 우리 군은 8월 10일 17시 이후 응징차원에서 군사분계선 일대 대북 확성기 방송을 부분적으로 시행하는 등 남북간 군사적 긴장 상태가 고조되었다.
6,2015년 제20차 이산가족상봉,2015년 10월 20일 ~ 2015년 10월 26일,2015년 08월 31일 ~ 2015년 10월 21일,사회과학 > 정치학,77,14,0,1,"2015년 8월25일 판문점 남북 고위 당국자 접촉에서 추석을 계기로 이산가족 상봉으로 진행하기로 하였고, 제20차 이산가족상봉이 10월20일부터 10월26일 2박3일 동안 북한 금강산면회소에서 열렸다. 1차, 2차로 나누어 진행되었으며, 8월 20일부터 진행된 1차 상봉에서는 북측에서 선정한 96가족, 141명이 남측 가족 389명을 만났고, 8월 24일부터 진행된 2차 상봉에서는 남측에서 상봉을 신청한 90가족, 254명이 북측 가족 188명을 만났다."
7,2011년 외규장각 의궤의 귀환,2011년 05월 27일,2016년 08월 19일 ~ 2016년 08월 19일,문화유산,27,3,1,0,"의궤(儀軌)는 조선시대에 국가나 왕실의 중요한 의식과 행사를 개최한 후 그 전 과정을 기록한 보고서로써 국가나 왕실의 주요 행사의 준비와 진행과정, 의례내용, 소요 경비, 참가 인원, 포상 내용 등을 상세하게 기록되어 있어 조선의 통치 철학과 운영체계를 엿볼 수 있다. 외규장각은 1782년 (정조 6) 규장각 보관 자료 중에서 왕실의 주요 물품과 도서를 보관하기 위하여 강화도 행궁(行宮)에 건립되었고, 이 때 창덕궁 내 규장각에 보관해 왔던 왕의 열람용으로 제작된 어람용 의궤가 외규장각으로 옮겨졌다. 외규장각 의궤는 대부분 국왕의 열람용으로 제작되어진 어람용 의궤이기에 실무관청에서 보관하고 참고하는 용도로 만들어진 분상용 의궤에 비해 종이나 표지, 안료의 재질, 장정 방법, 서체와 필사, 그림의 수준 등 그 형태와 재질, 제작 기법이 매우 뛰어나 조선시대 당대의 최고의 도서 수준과 예술적 품격을 느낄 수 있는 문화재로서의 가치도 매우 우수하다.
1866년(고종 3)에 병인박해를 구실로 이 해 10월 11일 로즈 제독이 이끄는 프랑스 함대가 강화도를 침입하는 병인양요가 발발하게 되었다. 프랑스군은 조선군에게 패배하여 퇴각하면서 은괴가 든 상자 19개와 함께 외규장각에 보관되어 있던 의궤를 비롯한 340책의 서적과 왕실 자료를 약탈하였고, 강화부의 행궁, 관아, 외규장각 건물에 불을 지르고 강화도에서 철수하였다. 약탈된 외규장각 자료들은 로즈 제독이 프랑스 국왕과 상관에게 기증하였고, 그 중 외규장각 의궤는 프랑스국립도서관으로 보내졌다.
1975년 프랑스국립도서관에서 직원으로 일하던 고 박병선 박사는 중국도서로 분류되어 외규장각 도서 191종 297책을 발견하여 세상에 그 존재를 처음으로 알렸다. 1991년 서울대를 중심으로 외규장각 도서 반환 운동을 펼치기 시작하여 1992년 11월 한국 정부는 프랑스에 공식 반환을 요청하게 된다. 1993년 한국 고속철도건설사업권을 놓고 프랑스, 일본, 독일이 경쟁하자 당시 미테랑 대통령은 외규장각 도서의 반환을 약속했고 이에 힘입어 고속철도 사업자는 프랑스로 결정되었다. 그러나 프랑스 국립도서관 사서들의 반대에 부딪혀 반환약속은 지켜지지 않았다. 2000년 2001년까지 외규장각 도서를 반환한다는 합의가 도출되었으나, 외규장각 도서에 상응하는 고문서를 프랑스에 제공한다는 맞교환 조항으로 학계의 거센 비판을 받게 되자, 우리나라 정부는 합의를 철회하였다. 2007년 한국의 시민단체는 프랑스 정부를 상대로 외규장각 도서 반환에 대한 행정소송을 제기하게 되고, 이에 2009년 파리행정법원은 약탈은 인정하나, 외규장각 도서가 국립도서관에 보관된 ‘국유재산’이기 때문에 돌려줄 수 없다며 반환 소송을 기각하였다.
2010년 한국과 프랑스의 정상 회담에서 이명박 대통령과 사르코지 대통령은 “프랑스가 보관 중인 외규장각 도서를 ’5년 단위 갱신 가능한 대여’ 방식으로 한국에 반환한다.""라는 내용으로 합의했다.
2011년 5월 27일 외규장각 의궤 297책은 ‘영구 임대’ 형식으로 145년 만에 귀환하게 되었다."
8,2015년 한일 일본군 '위안부' 합의,2015년 12월 28일,2016년 01월 19일 ~ 2016년 05월 19일,사회과학 > 정치학,"1,393",33,19,0,"2015년 12월 28일 한국과 일본 정부는 한·일 외교장관회담 공동기자회견을 통해 일본군 위안부 피해자 문제의 해결 방안에 합의하였음을 발표하였다. 일본 기사다 외무상은 발표문을 통해 아베 내각총리대신은 일본국 내각총리대신으로서 마음으로부터 사죄와 반성의 마음을 표명하며, 한국 정부가 위안부 지원을 목적으로 하는 재단을 설립하고, 이에 일본 정부 예산으로 10억엔을 출연하며, 양국 정부가 협력하여 위안부의 명예와 존엄의 회복 및 마음의 상처 치유를 위한 사업을 행하기로 하였다. 한일 양국은 합의 사항 이행을 전제로, 동 문제가 최종적 및 불가역적으로 해결될 것임을 확인한다고 밝혔다."
9,2016년 이세돌-구글 알파고 대국,2016년 03월 09일 ~ 2016년 03월 15일,2016년 07월 12일 ~ 2016년 07월 12일,총류 > 총류,97,6,0,0,"인공지능을 개발하던 기업인 딥마인드(Deepmind)는 2014년 구글에 인수되었다. 구글은 ‘알파벳’이라는 지주회사를 설립하고 연구분야에 맞춰 별도의 독립법인을 세우면서 딥마인드는 ‘구글딥마인드’라는 이름의 별도의 회사가 되었다. 딥마인드는 비디오게임과 바둑과 같은 창의적인 게임을 할 수 있는 인공지능 개발에 나섰고, DQN(deepQ-network)과 알파고를 개발했다. 알파고(AlphaGo)는 구글의 지주회사이름인 ‘알파벳’에 바둑을 의미하는 영어단어 ‘고(go)’를 더해 만든 이름으로 인공지능 바둑프로그램이다.
알파고는 딥 러닝으로 최적의 수를 찾아 두므로 다른 바둑 프로그램과 벌인 대결에서 승률 99.8%를 기록하며 모두 승리하였다. 2015년 10월 알파고는 유럽 바둑 챔피언이자 중국 프로 바둑기사인 판후이 2단과의 공식 대결하면서 5번 모두 승리하였다. 이는 인공지능(AI)가 프로 바둑기사와 겨룬 바둑대결에서 사상 최초로 완승을 거둔 것이었다.
구글 딥마인드는 ‘구글 딥마인드 챌린지 매치(Google Deepmind Challenge match)’를 주최하여 이세돌 9단에게 도전하였다. 알파고와 이세돌 9단과의 대결은 5판 중 3판을 이기는 쪽이 우승 상금 100만 달러(고정환율 11억)을 받게 되어 있었으며, 이세돌 9단은 5판을 치르는 조건으로 15만 달러(고정환율 1억 6천500만원)의 대국료를 받기로 하였다. 알파고는 이세돌 9단과의 대국을 4대 1의 승리로 끝냈다. 이세돌 9단은 4국에서 알파고의 ‘버그’을 이끌어 내며 처음으로 승리하였으나 5국 마지막 대결에서는 아쉽게 역전패하고 말았다.
이로써 우승상금 100만 달러는 알파고가 받게 되었으며, 알파고를 개발한 구글 딥마인드는 이 상금을 유니세프와 STEM(과학, 기술, 공학, 수학) 교육 및 바둑 관련 자선단체에 기부하기로 하였다.

<출처>
- [알파고: 진화의 시작] 알파고는 '누구'인가?.강일용, iT dongA, 2016.03.10
- 프로 바둑기사 이긴 구글 인공지능 ‘알파고’ 승리 비결은?. 동아사이언스, 2016.01.28
- 이세돌 또 불계패로 3연패…인공지능에 무너진 4천년 바둑(3보), 김태균∙최인영∙차병섭, 연합뉴스, 2016.03.12
- 이세돌, 5시간 접전 끝 패배…세기의 대국 1승4패로 마감(종합2보). 최인영∙윤보람∙차병섭, 연합뉴스, 2016.03.15
- [인간 대 AI]알파고 어떻게 생겼나. 장윤희, Newsis, 2016.03.10"
