term,Category,Freq,Term,Total,loglift,logprob
111,Default,0.99,kr,6.4296736949902975,25.0,25.0
1203,Default,0.99,북한,4.833037621914957,21.275154505151562,21.275154505151562
733,Default,0.99,대통령,4.12251165791262,19.617544808980014,19.617544808980014
2341,Default,0.99,정부,3.997833581685328,19.326679170671415,19.326679170671415
2974,Default,0.99,한국,3.583504599014421,18.360077281541958,18.360077281541958
202,Default,0.99,개최,2.8718878659675675,16.699922893921993,16.699922893921993
973,Default,0.99,미국,2.4387262215822485,15.689385660774022,15.689385660774022
1413,Default,0.99,선거,2.4226864017918692,15.651965830737678,15.651965830737678
738,Default,0.99,대한민국,2.3278706883361693,15.430767093553918,15.430767093553918
90,Default,0.99,8월,2.2810800443554653,15.321607641145405,15.321607641145405
1057,Default,0.99,발표,2.211156368126883,15.158480367012356,15.158480367012356
107,Default,0.99,do,1.96211890696235,14.577492575924518,14.577492575924518
602,Default,0.99,남북,1.9444668300202785,14.536311457458526,14.536311457458526
434,Default,0.99,국민,1.9405754840704212,14.527233206832317,14.527233206832317
1469,Default,0.99,세계,1.919965468482577,14.47915141474098,14.47915141474098
1871,Default,0.99,올림픽,1.8959708562797268,14.423173584431616,14.423173584431616
2822,Default,0.99,투표,1.8933136685807548,14.416974542711095,14.416974542711095
2360,Default,0.99,정책,1.876187037552387,14.377019254525058,14.377019254525058
2105,Default,0.99,이후,1.8479971956815011,14.31125423313793,14.31125423313793
3173,Default,0.99,후보,1.8351244068388262,14.28122287512507,14.28122287512507
3158,Default,0.99,회담,1.8224822125942723,14.251729478933587,14.251729478933587
679,Default,0.99,단체,1.8052201699499515,14.211458284476773,14.211458284476773
1268,Default,0.99,사건,1.8024892943180981,14.20508733372235,14.20508733372235
414,Default,0.99,국가,1.7923292720170372,14.181384679163898,14.181384679163898
447,Default,0.99,국제,1.7721313477898275,14.134264268738683,14.134264268738683
2425,Default,0.99,종목,1.76572059641623,14.119308413252753,14.119308413252753
745,Default,0.99,대회,1.7602313398338663,14.106502343669533,14.106502343669533
266,Default,0.99,경제,1.737377128118573,14.053184991655773,14.053184991655773
423,Default,0.99,국내,1.714361345342876,13.999490705131645,13.999490705131645
3010,Default,0.99,합의,1.639293688727943,13.824362867757669,13.824362867757669
105,Default,0.99,com,1.6144524430696887,13.766409898050336,13.766409898050336
2552,Default,0.99,진행,1.5484963446137567,13.612538718302936,13.612538718302936
2865,Default,0.99,패럴림픽,1.503708634691574,13.50805197749738,13.50805197749738
960,Default,0.99,문화,1.487231768369236,13.469612547044225,13.469612547044225
85,Default,0.99,6월,1.4804524760140585,13.453796910022568,13.453796910022568
657,Default,0.99,뉴스,1.4739173046084948,13.438550790898384,13.438550790898384
2280,Default,0.99,전국,1.4714798526406072,13.432864377986512,13.432864377986512
93,Default,0.99,9월,1.4458987599832474,13.373185394563237,13.373185394563237
1917,Default,0.99,운동,1.4337557448794398,13.344856550021866,13.344856550021866
82,Default,0.99,5월,1.3889275863505761,13.240275445314039,13.240275445314039
365,Default,0.99,관련,1.3705376120933848,13.197372861614838,13.197372861614838
88,Default,0.99,7월,1.3565570300838359,13.164757096011268,13.164757096011268
323,Default,0.99,공동,1.324476312219636,13.089914920375211,13.089914920375211
1125,Default,0.99,변화,1.3189693348640295,13.077067509409636,13.077067509409636
957,Default,0.99,문재인,1.318732415851961,13.076514793152231,13.076514793152231
2337,Default,0.99,정보,1.3091988657715685,13.054273656511453,13.054273656511453
1426,Default,0.99,선언,1.3047871346598714,13.043981382001938,13.043981382001938
1345,Default,0.99,상봉,1.2761065802707625,12.977071561030488,12.977071561030488
2067,Default,0.99,이산가족,1.2685504366262155,12.959443581751149,12.959443581751149
104,Default,0.99,co,1.2558582656923716,12.929833593275996,12.929833593275996
2974,Topic1,1.9867455814925814,한국,3.583504599014421,0.8440657202666018,0.01828522176080238
1413,Topic1,1.8473975510515857,선거,2.4226864017918692,0.9332011374451011,0.017002717517541198
111,Topic1,1.0616279369776618,kr,6.4296736949902975,0.46247403952491506,0.009770804292171097
960,Topic1,1.04724795427112,문화,1.487231768369236,0.9119320526231082,0.009638456610034523
875,Topic1,0.9527461666327713,만화,0.9527461666327713,1.0,0.00876869947562516
2501,Topic1,0.8547848190375893,지방,1.0815174044129363,0.9425325768692213,0.007867101917562772
1469,Topic1,0.7802281950690564,세계,1.919965468482577,0.7486277871594557,0.007180912193170792
1837,Topic1,0.7732010337533446,영화,0.7732010337533446,1.0,0.007116236975466172
3173,Topic1,0.757108916748355,후보,1.8351244068388262,0.7534139466568218,0.0069681314853732
733,Topic1,0.7517873775532572,대통령,4.12251165791262,0.49246166939282393,0.006919154140111876
365,Topic1,0.7047563136176334,관련,1.3705376120933848,0.8215910860610642,0.006486298800343967
1252,Topic1,0.7020517668715625,비엔날레,0.7020517668715625,1.0,0.006461407220126029
2684,Topic1,0.6860547985891957,최초,1.2186038742305816,0.8485863334643569,0.006314177441301582
2822,Topic1,0.6383596923806447,투표,1.8933136685807548,0.6887584860982451,0.005875210518685765
718,Topic1,0.57501068225662,대선,0.6495462815066131,0.9710662380763668,0.005292171246201328
1235,Topic1,0.5725983343138683,브라질,0.7317097911490142,0.9399615236032817,0.005269968948379029
1944,Topic1,0.5725983343138681,월드컵,0.8530701990835476,0.8988020970855024,0.005269968948379029
437,Topic1,0.5711657834851941,국방부,0.745840261556532,0.9343202844057087,0.0052567843162701485
1090,Topic1,0.5428571428571429,배치,1.1450042149227195,0.7968332309798564,0.004996242767089047
82,Topic1,0.5422660199366258,5월,1.3889275863505761,0.7358928081967876,0.004990802305164663
2280,Topic1,0.5318052228018076,전국,1.4714798526406072,0.7111585325962185,0.0048945252593331524
680,Topic1,0.5191122757189134,단체장,0.5730482647159729,0.9766742666386902,0.004777704386861655
1719,Topic1,0.5075647261379698,알파고,0.5933140187092242,0.962618101707565,0.004671425300677515
973,Topic1,0.4982372484711799,미국,2.4387262215822485,0.5276355244824568,0.004585578879678779
361,Topic1,0.4961251943044097,관광,0.6011462463531339,0.9535998412138337,0.004566140367183786
1139,Topic1,0.48821504640845287,보도자료,0.9560901196440105,0.8194800012684756,0.004493338489688407
1274,Topic1,0.4857142857142858,사드,1.1524110802166527,0.7601603770911975,0.004470322475816516
1130,Topic1,0.4796320968792721,병장,0.5745478964545221,0.956490973867009,0.004414344411652032
679,Topic1,0.4673004650144309,단체,1.8052201699499515,0.6030943336081624,0.00430084894176313
2105,Topic1,0.4491551202527387,이후,1.8479971956815011,0.5827911600696257,0.00413384635422271
2610,Topic1,0.44754420175711085,처음,0.9702482873899758,0.7883542364624614,0.004119020096545065
189,Topic1,0.44704075613015687,개발,0.807083384561274,0.8437898299114963,0.004114386581806634
985,Topic1,0.44194173824159205,미술,0.44194173824159216,1.0,0.004067457234776372
49,Topic1,0.44194173824159194,20대,0.7620419181546371,0.8572724023696773,0.0040674572347763685
1532,Topic1,0.44190189948216896,수상,0.5455970689552114,0.9488217419910165,0.004067090574567074
1009,Topic1,0.42947784519366666,바둑,0.42947784519366666,1.0,0.003952744485188665
1621,Topic1,0.4259996268216045,시작,0.8962874307796485,0.7976009854508764,0.003920732336850139
85,Topic1,0.42312561463507303,6월,1.4804524760140585,0.6351659462975995,0.0038942810636405636
2599,Topic1,0.4193139346887673,채식주의자,0.4193139346887673,1.0,0.0038591998666575845
475,Topic1,0.4166666666666666,그림책,0.4166666666666667,0.9999999999999999,0.00383483545719554
2206,Topic1,0.4152958525201284,자치,0.759022381580115,0.8401599372605765,0.0038222190251290524
695,Topic1,0.40516556662685277,당선,0.6890767376194873,0.8612735491691161,0.0037289838742449073
107,Topic1,0.4044128567392365,do,1.96211890696235,0.5303975945470547,0.0037220562296864765
2474,Topic1,0.3987067254172361,중앙,0.8226845808763988,0.8035795496856919,0.0036695392503656265
2702,Topic1,0.3978187843499089,출간,0.3978187843499088,1.0000000000000002,0.003661366991432299
510,Topic1,0.3848952303654986,기록,0.9816696505078332,0.7372464580666792,0.003542423704106544
3056,Topic1,0.380032905167129,행사,0.8582498256804099,0.7756453223417795,0.0034976727831262477
